,total_fix_points_d,total_fix_points_d_filtered,total_fix_points_p,total_fix_points_p_filtered
0,4611.0,1776.0,2835,2417
2,17977.0,16476.0,1501,571
5,11886.0,10139.0,1747,1261
9,3841.0,46.0,3795,3142
10,13586.0,11972.0,1614,1012
11,43848.0,41393.0,2455,947
12,17452.0,14813.0,2639,1352
14,4919.0,3539.0,1380,858
16,5780.0,4122.0,1658,1028
17,4744.0,3168.0,1576,1072
19,8395.0,6904.0,1491,861
20,14413.0,12595.0,1818,676
23,6832.0,5185.0,1647,1187
25,9406.0,6958.0,2448,1439
26,7536.0,6988.0,548,295
27,6193.0,4329.0,1864,1097
28,15257.0,12818.0,2439,1687
32,6466.0,12.0,6454,5148
33,12127.0,10113.0,2014,506
34,16790.0,13795.0,2995,1901
35,53.0,0.0,53,52
39,6023.0,4064.0,1959,1513
40,6706.0,4582.0,2124,1481
41,22153.0,16047.0,6106,4256
42,10381.0,7465.0,2916,2335
44,11731.0,8250.0,3481,1875
45,15235.0,12536.0,2699,1341
46,11279.0,7973.0,3306,1635
47,4212.0,3163.0,1049,808
49,12363.0,10107.0,2256,1838
51,2588.0,1797.0,791,490
54,6351.0,4357.0,1994,1562
56,17313.0,14705.0,2608,800
57,7904.0,5657.0,2247,1231
58,9044.0,6858.0,2186,1412
59,8392.0,6566.0,1826,1268
60,5215.0,3388.0,1827,1460
61,10159.0,7322.0,2837,2106
63,6638.0,4864.0,1774,1237
64,3992.0,2235.0,1757,1510
65,5495.0,3398.0,2097,1739
66,8785.0,6700.0,2085,1547
67,26113.0,21825.0,4288,2912
69,6525.0,3779.0,2746,1892
76,5279.0,4397.0,882,594
78,3152.0,633.0,2519,1961
79,13738.0,11116.0,2622,1884
80,16025.0,13595.0,2430,658
81,6319.0,4254.0,2065,1464
82,6788.0,5013.0,1775,1214
86,11328.0,9018.0,2310,1219
88,5028.0,3228.0,1800,1369
90,6689.0,1968.0,4721,3221
91,6341.0,4838.0,1503,1108
92,12123.0,9690.0,2433,1644
94,5342.0,4731.0,611,368
95,4558.0,1235.0,3323,2211
96,8008.0,6164.0,1844,1185
98,4037.0,2675.0,1362,1184
99,13372.0,10854.0,2518,1837
100,5596.0,3602.0,1994,1428
101,12822.0,9466.0,3356,2699
102,14022.0,9202.0,4820,3116
103,7818.0,6643.0,1175,937
104,5874.0,3848.0,2026,1627
106,6225.0,2865.0,3360,1523
109,18252.0,13679.0,4573,3529
113,15858.0,12278.0,3580,2682
114,12843.0,10577.0,2266,860
116,7104.0,5138.0,1966,942
118,12390.0,9245.0,3145,1589
119,4933.0,2650.0,2283,1992
120,8609.0,6425.0,2184,1582
124,8800.0,7380.0,1420,1112
131,4178.0,3006.0,1172,901
132,3816.0,1715.0,2101,1495
133,13168.0,11997.0,1171,501
134,13175.0,9048.0,4127,3316
135,9165.0,5649.0,3516,2823
136,3721.0,2097.0,1624,1365
137,7421.0,5619.0,1802,1164
138,10864.0,7220.0,3644,2190
139,5624.0,3307.0,2317,1761
140,6118.0,5445.0,673,414
141,4879.0,3815.0,1064,681
142,4166.0,3071.0,1095,758
144,6332.0,4174.0,2158,1537
146,1785.0,1004.0,781,486
149,10325.0,8291.0,2034,1409
150,12984.0,11105.0,1879,1299
152,4603.0,2905.0,1698,1285
154,8454.0,4726.0,3728,2761
155,9294.0,6646.0,2648,1874
156,17555.0,15761.0,1794,1330
158,6790.0,4746.0,2044,1682
159,8847.0,1.0,8846,3230
161,6772.0,5712.0,1060,818
162,3823.0,919.0,2904,1611
163,18197.0,13267.0,4930,2565
165,11791.0,10770.0,1021,415
166,13880.0,9976.0,3904,1941
167,16043.0,10352.0,5691,4001
168,19287.0,12969.0,6318,4197
171,6584.0,4004.0,2580,2109
172,7799.0,6667.0,1132,417
173,7828.0,5553.0,2275,1377
174,10614.0,5654.0,4960,2333
177,5674.0,3758.0,1916,1670
179,2875.0,60.0,2815,2458
180,6057.0,4405.0,1652,1332
181,20162.0,18107.0,2055,968
182,10231.0,8259.0,1972,1333
184,4197.0,1151.0,3046,2046
185,4353.0,2715.0,1638,1241
186,5371.0,2159.0,3212,2209
187,12356.0,9885.0,2471,1042
191,8415.0,6825.0,1590,996
192,5083.0,3707.0,1376,872
193,3636.0,2182.0,1454,1119
194,8649.0,5863.0,2786,2291
197,8419.0,5996.0,2423,1837
198,7048.0,5114.0,1934,1476
200,7604.0,4689.0,2915,1774
201,8507.0,2113.0,6394,4537
203,8057.0,6596.0,1461,730
204,8563.0,27.0,8536,2207
205,5993.0,4286.0,1707,1251
206,3116.0,1900.0,1216,1029
209,9434.0,4643.0,4791,3908
211,12178.0,10428.0,1750,700
213,6882.0,5300.0,1582,1254
214,9437.0,7611.0,1826,1327
218,6475.0,3912.0,2563,2152
219,13223.0,10938.0,2285,1021
220,8151.0,6999.0,1152,572
221,3692.0,3107.0,585,262
225,6466.0,4609.0,1857,1311
226,72.0,1.0,71,71
229,13685.0,11678.0,2007,1375
230,2958.0,2153.0,805,438
232,7999.0,7162.0,837,558
233,9849.0,7189.0,2660,1973
235,24636.0,21708.0,2928,1845
236,6045.0,4695.0,1350,834
239,2770.0,1838.0,932,507
244,7036.0,4034.0,3002,2079
245,7602.0,3567.0,4035,1798
246,3758.0,2816.0,942,461
247,11022.0,1122.0,9900,6636
248,3926.0,3376.0,550,130
250,5324.0,3871.0,1453,849
251,7000.0,3778.0,3222,2474
252,21239.0,18099.0,3140,1363
253,5188.0,784.0,4404,3175
254,4685.0,3103.0,1582,1246
255,11451.0,6964.0,4487,3758
256,4963.0,1167.0,3796,2364
257,8755.0,8001.0,754,447
258,3859.0,6.0,3853,2709
259,4952.0,3444.0,1508,902
260,10217.0,6338.0,3879,2961
263,8212.0,6671.0,1541,865
267,4384.0,2938.0,1446,1158
268,6669.0,4824.0,1845,1405
269,4855.0,3362.0,1493,1072
270,4936.0,4014.0,922,627
275,6487.0,4649.0,1838,1327
276,4818.0,3041.0,1777,1491
279,6863.0,5592.0,1271,797
281,3129.0,1413.0,1716,771
285,6091.0,3637.0,2454,1870
287,9131.0,8430.0,701,281
288,8994.0,6365.0,2629,1682
295,13013.0,7939.0,5074,4371
297,9462.0,6842.0,2620,2080
298,5003.0,3717.0,1286,770
299,7846.0,5857.0,1989,1596
300,5874.0,3740.0,2134,1561
307,9531.0,7939.0,1592,702
310,5337.0,2803.0,2534,1826
312,4894.0,3985.0,909,508
314,16881.0,11152.0,5729,2976
315,9121.0,6897.0,2224,1631
319,6283.0,4522.0,1761,1232
323,12659.0,9213.0,3446,1853
325,9273.0,7514.0,1759,1031
326,11389.0,8443.0,2946,2293
327,6604.0,4941.0,1663,860
328,6449.0,4553.0,1896,1204
329,3956.0,2911.0,1045,695
330,6704.0,6440.0,264,53
333,11249.0,6.0,11243,6677
335,5392.0,2.0,5390,3503
337,2352.0,166.0,2186,1690
339,7485.0,5215.0,2270,1652
341,6422.0,5374.0,1048,601
342,3567.0,2934.0,633,256
343,12778.0,11270.0,1508,1202
344,3440.0,2609.0,831,585
345,17916.0,12943.0,4973,4281
349,4935.0,2768.0,2167,1840
350,6293.0,4748.0,1545,893
351,7858.0,4506.0,3352,2899
353,35099.0,18397.0,16702,13278
354,10831.0,9780.0,1051,488
355,21238.0,18720.0,2518,1487
357,11581.0,1220.0,10361,7466
358,43106.0,33018.0,10088,5913
360,4364.0,865.0,3499,2897
362,7336.0,26.0,7310,4221
363,12534.0,8884.0,3650,2700
364,8507.0,7342.0,1165,800
365,6744.0,5353.0,1391,929
371,24602.0,21112.0,3490,1000
374,10236.0,7227.0,3009,2329
375,14140.0,11255.0,2885,1729
376,9428.0,616.0,8812,3464
378,22469.0,20702.0,1767,506
380,1880.0,626.0,1254,779
381,4267.0,21.0,4246,2789
382,12917.0,9691.0,3226,892
383,9031.0,708.0,8323,6291
384,9907.0,7625.0,2282,1872
389,5169.0,83.0,5086,3667
391,15889.0,13699.0,2190,933
396,5884.0,43.0,5841,2812
397,6074.0,0.0,6074,3268
398,7758.0,4616.0,3142,2354
399,10145.0,8433.0,1712,1154
400,19454.0,15071.0,4383,2377
402,13481.0,11747.0,1734,719
407,10019.0,5910.0,4109,3150
409,9062.0,6022.0,3040,2077
413,4034.0,3286.0,748,405
414,14079.0,10900.0,3179,1275
415,16976.0,15676.0,1300,622
416,7428.0,1297.0,6131,2523
417,12894.0,9599.0,3295,1581
420,163.0,0.0,163,163
421,7612.0,5417.0,2195,1503
422,15288.0,11980.0,3308,2331
426,9952.0,8352.0,1600,713
428,16340.0,13915.0,2425,979
430,24283.0,20388.0,3895,1942
432,3616.0,3203.0,413,125
435,8977.0,6848.0,2129,1117
436,9328.0,8407.0,921,499
438,11857.0,8398.0,3459,1893
440,6176.0,0.0,6176,5150
441,5199.0,805.0,4394,2844
442,15639.0,12514.0,3125,1123
443,7000.0,5705.0,1295,578
447,5626.0,1584.0,4042,2545
448,17919.0,11574.0,6345,2256
450,6698.0,4958.0,1740,1350
451,24675.0,19964.0,4711,3400
453,8941.0,7525.0,1416,933
455,25526.0,23895.0,1631,833
458,14566.0,11549.0,3017,1399
459,14338.0,12094.0,2244,1669
461,13566.0,9441.0,4125,1939
462,9701.0,8102.0,1599,972
463,19184.0,14814.0,4370,3337
466,9280.0,6071.0,3209,1860
467,6938.0,5502.0,1436,1039
469,292.0,0.0,292,292
470,5106.0,3328.0,1778,1147
471,9863.0,7727.0,2136,1187
473,3204.0,2685.0,519,325
477,23659.0,21786.0,1873,153
478,9357.0,6941.0,2416,1588
479,7214.0,5167.0,2047,1432
480,7540.0,4840.0,2700,1993
481,14526.0,10891.0,3635,2237
485,19041.0,14824.0,4217,2295
486,11622.0,9178.0,2444,1501
487,12407.0,10097.0,2310,1498
489,15924.0,14845.0,1079,267
491,20861.0,16683.0,4178,3299
492,30324.0,21459.0,8865,5526
496,53.0,1.0,52,52
497,28102.0,20874.0,7228,4048
499,53254.0,42421.0,10833,5639
501,18905.0,16481.0,2424,1558
505,13650.0,10843.0,2807,1831
506,19411.0,15745.0,3666,1256
507,10238.0,6660.0,3578,2064
511,15318.0,12894.0,2424,1570
512,25223.0,20624.0,4599,2798
513,11373.0,8139.0,3234,2162
514,22157.0,19421.0,2736,1090
517,20194.0,17215.0,2979,1431
518,12857.0,9457.0,3400,3058
519,16762.0,15464.0,1298,665
521,9281.0,0.0,9281,4287
522,6041.0,4821.0,1220,766
523,13704.0,11341.0,2363,1511
524,3547.0,2217.0,1330,1012
526,5761.0,4651.0,1110,745
527,7313.0,4643.0,2670,1922
528,16505.0,13807.0,2698,1324
529,16127.0,14288.0,1839,1113
531,8151.0,5246.0,2905,2117
532,3665.0,167.0,3498,1818
533,11852.0,8698.0,3154,2054
536,19555.0,14379.0,5176,3927
537,20200.0,18094.0,2106,887
539,26822.0,22388.0,4434,2723
541,8600.0,6683.0,1917,1311
542,9770.0,7520.0,2250,1728
543,6637.0,4617.0,2020,1620
545,22649.0,18686.0,3963,2357
546,6130.0,4335.0,1795,1357
549,20467.0,16661.0,3806,2167
550,17622.0,16911.0,711,131
555,6559.0,5108.0,1451,1143
556,14144.0,10816.0,3328,1959
558,19782.0,16523.0,3259,2598
559,20443.0,15945.0,4498,1681
562,9917.0,6742.0,3175,2212
564,11408.0,9224.0,2184,1639
567,18408.0,16419.0,1989,1104
568,11586.0,10585.0,1001,467
569,18857.0,14866.0,3991,2084
574,14378.0,11545.0,2833,1251
576,4294.0,3072.0,1222,841
578,5031.0,2862.0,2169,1397
579,7970.0,6349.0,1621,1200
580,16748.0,14786.0,1962,1534
581,31422.0,27616.0,3806,2199
582,12682.0,9617.0,3065,2273
583,52.0,0.0,52,52
584,6620.0,4227.0,2393,2069
585,8756.0,5621.0,3135,2521
586,11045.0,8757.0,2288,1551
587,6780.0,4934.0,1846,1397
588,31099.0,24501.0,6598,3735
589,6700.0,736.0,5964,4999
590,3948.0,2154.0,1794,1503
591,12284.0,7556.0,4728,4261
592,6307.0,4058.0,2249,1796
593,21494.0,19074.0,2420,1397
594,7457.0,4968.0,2489,1932
595,6805.0,4382.0,2423,1720
596,12187.0,9831.0,2356,1547
597,10078.0,7923.0,2155,1823
598,19015.0,15000.0,4015,2553
599,4572.0,2833.0,1739,1339
600,68.0,0.0,68,68
601,11990.0,9132.0,2858,1841
602,9599.0,6505.0,3094,2340
603,6059.0,3241.0,2818,2370
604,8512.0,5820.0,2692,1904
